Organization Name,Partner Type,Address,City,State/Province,Zip/Postal Code,PFP Web Page,Latitude,Longitude
Arni Foundation,Shelter Partner,600 Mason Ave,Daytona Beach,Florida,32117,http://petsforpatriots.org/partners/arni-foundation/,29.224889,-81.037319
Rescue ME Clifford,Shelter Partner,435 W Court St,Paris,Illinois,61944,http://petsforpatriots.org/partners/rescue-me-clifford/,39.61125324,-87.70132281
Norfolk Animal Care and Adoption Center,Shelter Partner,5585 Sabre Road,Norfolk,Virginia,23502,http://petsforpatriots.org/partners/norfolk-animal-care-and-adoption-center/,36.86039,-76.215195
Austin Pets Alive!,Shelter Partner,1156 West Cesar Chavez Road,Austin,Texas,78703,http://petsforpatriots.org/partners/austin-pets-alive/,30.269061,-97.760415
Humane Society of West Michigan,Shelter Partner,3077 Wilson NW,Grand Rapids,Michigan,49534,http://petsforpatriots.org/partners/humane-society-of-west-michigan/,43.0200276,-85.7849383
Southern Colorado Spay and Neuter Association,Shelter Partner,1700 S Prairie Ave,Pueblo,Colorado,81005,http://petsforpatriots.org/partners/southern-colorado-spay-and-neuter-association/,38.23904,-104.6435054
PAWS (Pet Animal Welfare Society),Shelter Partner,504 Main Avenue,Norwalk,Connecticut,6851,http://petsforpatriots.org/paws-pet-animal-welfare-society/,41.15344266,-73.42424183
Fayetteville Animal Protection Society,Shelter Partner,3927 Bragg Blvd,Fayetteville,North Carolina,28303,http://petsforpatriots.org/partners/fayetteville-animal-protection-society/,35.08085,-78.94508
Michigan Humane Society Rochester Hills,Shelter Partner,3600 W. Auburn Road,Rochester Hills,Michigan,48309,http://petsforpatriots.org/partners/michigan-humane-society-rochester-hills/,42.635262,-83.204036
Peggy Adams Animal Rescue League,Shelter Partner,3200 N Military Trail,West Palm Beach,Florida,33409,http://petsforpatriots.org/partners/peggy-adams-animal-rescue-league/,26.7233254,-80.1086325
Arizona Humane Society,Shelter Partner,1521 W. Dobbins Rd.,Phoenix,Arizona,85041,http://petsforpatriots.org/partners/arizona-humane-society/,33.361305,-112.093095
Rancho Coastal Humane Society,Shelter Partner,389 Requeza Street,Encinitas,California,92024,http://petsforpatriots.org/rancho-coastal-humane-society/,33.0433629,-117.2841636
Leavenworth County Humane Society,Shelter Partner,1205 (Rear) N. Main Street,Lansing,Kansas,66043,http://petsforpatriots.org/partners/leavenworth-county-humane-society/,39.25028,-94.91086
Union County Humane Society,Shelter Partner,16540 County Home Rd,Marysville,Ohio,43040,http://petsforpatriots.org/partners/union-county-humane-society/,40.262577,-83.360343
